20:
x	y
0.720	388.111
0.721	388.111
0.723	388.111
0.724	388.111
0.726	388.111
0.727	388.111
0.728	388.111
0.730	388.111
0.732	388.111
0.733	388.111
0.735	388.111
0.736	388.111
0.738	388.111
0.739	388.111
0.743	388.111
0.745	388.111
0.748	385.998
0.749	385.998
0.752	385.998
0.754	385.998
0.757	385.998
0.758	385.998
0.760	385.998
0.764	385.998
0.770	385.998
0.773	385.998
0.775	385.998
0.778	385.998
0.780	385.998
0.782	385.998
0.783	385.998
0.785	385.998
0.788	385.998
0.790	385.998
0.791	385.998
0.793	385.998
0.795	385.998
0.797	385.998
0.799	385.998
0.802	385.998
0.804	385.998
0.807	385.998
0.811	385.998
0.814	385.998
0.816	383.885
0.818	383.885
0.820	383.885
0.822	383.885
0.823	383.885
0.823	381.860
0.826	381.860
0.828	381.860
0.830	381.860
0.831	381.860
0.832	381.860
0.834	381.860
0.836	381.860
0.837	381.860
0.840	381.860
0.842	379.747
0.843	379.747
0.845	379.747
0.846	379.747
0.848	379.747
0.850	379.747
0.853	379.747
0.854	379.747
0.856	379.747
0.857	379.747
0.860	379.747
0.862	379.747
0.867	377.634
0.875	377.634
0.883	376.225
0.884	376.225
0.886	376.225
0.889	376.225
0.891	376.225
0.893	376.225
0.894	376.225
0.896	376.225
0.898	376.225
0.901	376.225
0.905	376.225
0.907	376.225
0.911	376.225
0.914	376.225
0.920	374.112
0.923	374.112
0.925	374.112
0.927	374.112
0.928	374.112
0.930	371.999
0.932	371.999
0.935	371.999
0.938	371.999
0.939	371.999
0.941	371.999
0.942	371.999
0.944	371.999
0.946	371.999
0.948	371.999
0.950	371.999
0.953	371.999
0.955	371.999
0.956	371.999
0.958	371.999
0.967	371.999
0.975	371.999
0.982	371.999
0.983	371.999
0.984	371.999
0.984	369.973
0.986	369.973
0.987	369.973
0.989	369.973
0.991	369.973
0.992	369.973
0.993	369.973
0.995	369.973
0.996	369.973
0.998	369.973
1.000	369.973

60:
x	y
0.112	511.583
0.110	513.609
0.110	515.635
0.110	517.043
0.110	518.452
0.110	520.478
0.110	521.887
0.108	521.887
0.108	523.295
0.108	525.321
0.106	525.321
0.106	527.347
0.104	527.347
0.104	529.373
0.104	530.782
0.104	532.190
0.104	534.216
0.104	535.625
0.103	535.625
0.103	537.738
0.103	539.764
0.101	539.764
0.101	541.877
0.101	543.903
0.101	545.929
0.101	547.955
0.101	549.363
0.101	550.772
0.099	550.772
0.099	552.885
0.099	554.294
0.099	556.320
0.099	558.346
0.099	559.754
0.099	561.780
0.098	561.780
0.098	563.806
0.098	565.832
0.096	565.832
0.096	567.945
0.096	569.971
0.096	571.997
0.094	571.997
0.094	574.023
0.094	575.432
0.094	577.458
0.094	579.483
0.093	579.483
0.093	581.509
0.093	583.535
0.093	584.944
0.093	586.970
0.093	588.996
0.093	590.405
0.093	592.431
0.092	592.431
0.092	594.456
0.092	596.482
0.092	598.508
0.090	598.508
0.090	599.917
0.090	601.943
0.088	601.943
0.088	603.969
0.088	605.377
0.088	607.403
0.088	608.812
0.088	610.838
0.088	612.247
0.086	614.360
0.086	616.386
0.086	618.411
0.086	619.820
0.084	619.820
0.084	621.846
0.084	623.255
0.084	625.281
0.084	626.689
0.082	626.689
0.082	628.802
0.082	630.828
0.082	632.237
0.082	634.263
0.082	635.672
0.082	637.698
0.080	637.698
0.080	641.924
0.080	643.324
0.080	645.350
0.078	645.350
0.078	647.463
0.078	649.489
0.078	651.515
0.078	653.541
0.077	653.541
0.077	655.654
0.077	657.063
0.077	659.089
0.077	660.497
0.077	661.906
0.077	663.932
0.077	665.341
0.077	666.749
0.077	668.775
0.077	670.184
0.077	672.210
0.077	673.618
0.077	675.644
0.077	677.670
0.077	679.079
0.075	679.079
0.075	681.192
0.075	683.218
0.074	683.218
0.074	685.331
0.074	686.740
0.074	688.148
0.074	689.557
0.074	691.583
0.074	692.991
0.074	695.017
0.074	696.426
0.074	697.835
0.074	699.861
0.074	701.269
0.074	702.678
0.074	704.704
0.074	706.730
0.074	708.756
0.073	708.756
0.073	710.869
0.073	712.277
0.071	712.277
0.071	714.303
0.071	716.329
0.071	718.355
0.071	719.764
0.071	721.790
0.069	721.790
0.069	723.903
0.069	725.311
0.069	726.720
0.069	728.746
0.069	730.155
0.069	732.181
0.069	733.589
0.069	734.998
0.069	737.024
0.069	738.432
0.069	740.458
0.069	741.867
0.069	743.276
0.069	745.302
0.068	745.302
0.068	747.407
0.068	749.433
0.067	749.433
0.067	751.546
0.067	752.954
0.067	754.980
0.067	757.006
0.067	758.415
0.067	760.441
0.067	762.467
0.067	763.875
0.067	765.901
0.067	767.310
0.067	769.336
0.067	770.745
0.067	772.153
0.067	774.179
0.067	775.588
0.067	777.614
0.067	779.640
0.067	781.048
0.067	783.074
0.067	784.483
0.067	786.509
0.065	786.509
0.065	788.622
0.063	788.622
0.063	790.648
0.063	792.674
0.063	794.700
0.063	796.108
0.061	796.108
0.061	797.517
0.061	798.926
0.061	800.952
0.061	802.360
0.061	803.769
0.061	805.795
0.061	807.204
0.061	808.612
0.061	810.638
0.061	812.664
0.061	814.690
0.061	816.099
0.059	816.099
0.059	817.507
0.059	819.533
0.059	821.559
0.057	821.559
0.057	822.968
0.057	824.994
0.057	826.403
0.059	826.403
0.059	827.811
0.059	829.837
0.059	831.863
0.059	833.889
0.059	835.915
0.059	837.941
0.059	839.967
0.059	841.993
0.057	841.993
0.057	843.401
0.057	845.427
0.057	847.453
0.057	849.479
0.057	850.888
0.057	852.914
0.057	854.323
0.057	855.731
0.057	857.757
0.055	857.757
0.055	859.166
0.055	861.192
0.054	861.192
0.054	863.305
0.054	865.331
0.054	867.357
0.054	869.382
0.055	869.382
0.055	871.495
0.055	873.521
0.055	874.930
0.055	876.956
0.055	878.365
0.055	879.773
0.055	881.799
0.055	883.208
0.055	885.234
0.055	886.635
0.055	888.043
0.055	889.745
0.053	898.640
0.053	900.049
0.053	902.075
0.055	902.075
0.055	904.101
0.055	906.126
0.055	907.535
0.055	909.561
0.055	911.587
0.055	913.613
0.055	915.021
0.055	916.430
0.055	918.456
0.055	919.865
0.055	921.891
0.055	923.299
0.055	924.708
0.055	926.734
0.055	928.143
0.055	930.169
0.055	932.194
0.055	934.221
0.055	936.246
0.055	937.655
0.053	937.655
0.053	939.064
0.053	941.090
0.053	943.116
0.053	944.524
0.053	946.550
0.053	947.959
0.053	949.985
0.053	951.394
0.053	952.802
0.053	954.828
0.053	956.237
0.053	958.263
0.053	959.671
0.053	961.080
0.053	963.106
0.053	964.514
0.053	965.923
0.053	967.949
0.053	969.358
0.053	971.384
0.053	972.792
0.053	974.201
0.053	976.227
0.053	977.636
0.053	979.662
0.053	981.062
0.053	982.471
0.053	984.497
0.053	985.906
0.053	987.314
0.053	989.340
0.053	990.749
0.053	992.775
0.053	994.183
0.053	995.592
0.053	997.618
0.053	999.027
0.142	448.162
0.143	446.049
0.143	444.023
0.145	444.023
0.145	441.997
0.147	441.997
0.147	439.971
0.147	437.945
0.149	437.945
0.149	436.536
0.151	436.536
0.151	435.128
0.153	435.128
0.153	433.102
0.155	433.102
0.155	430.989
0.157	430.989
0.157	428.963
0.157	426.937
0.158	426.937
0.158	424.911
0.158	422.885
0.158	420.859
0.160	420.859
0.160	418.833
0.162	418.833
0.162	416.807
0.164	416.807
0.164	414.781
0.166	414.781
0.166	412.755
0.166	410.729
0.168	410.729
0.168	408.703
0.170	408.703
0.170	407.295
0.172	407.295
0.172	405.886
0.174	405.886
0.174	403.860
0.174	401.834
0.175	401.834
0.175	399.808
0.177	399.808
0.177	398.399
0.178	398.399
0.178	396.374
0.180	396.374
0.180	394.348
0.180	392.322
0.182	392.322
0.184	390.296
0.184	388.270
0.186	388.270
0.187	388.270
0.187	386.157
0.189	386.157
0.189	384.131
0.193	384.131
0.193	382.105
0.194	382.105
0.196	380.079
0.198	380.079
0.198	378.670
0.199	378.670
0.199	377.262
0.200	377.262
0.200	375.236
0.202	375.236
0.202	373.210
0.204	373.210
0.204	371.184
0.206	371.184
0.206	369.158
0.208	369.158
0.210	369.158
0.210	367.045
0.211	367.045
0.213	367.045
0.213	365.019
0.215	365.019
0.215	363.610
0.217	363.610
0.217	361.584
0.219	361.584
0.221	361.584
0.221	359.471
0.222	359.471
0.224	358.063
0.226	358.063
0.226	355.950
0.228	355.950
0.230	355.950
0.230	353.837
0.232	353.837
0.232	351.811
0.233	351.811
0.235	351.811
0.235	349.785
0.237	349.785
0.239	349.785
0.239	347.759
0.241	347.759
0.243	347.759
0.245	345.646
0.247	345.646
0.247	343.620
0.248	343.620
0.250	343.620
0.250	342.211
0.252	342.211
0.254	342.211
0.256	342.211
0.256	340.098
0.258	340.098
0.260	340.098
0.260	338.072
0.262	338.072
0.264	338.072
0.264	336.046
0.265	336.046
0.267	336.046
0.269	336.046
0.269	334.021
0.271	334.021
0.273	334.021
0.273	331.915
0.275	331.915
0.277	331.915
0.278	331.915
0.278	330.507
0.280	330.507
0.282	330.507
0.282	328.481
0.284	328.481
0.286	328.481
0.287	326.455
0.289	326.455
0.291	326.455
0.293	326.455
0.293	324.342
0.295	324.342
0.297	324.342
0.297	322.933
0.299	322.933
0.300	322.933
0.302	322.933
0.304	322.933
0.305	322.933
0.305	321.525
0.308	321.525
0.310	321.525
0.312	321.525
0.312	319.499
0.314	319.499
0.315	319.499
0.315	317.473
0.317	317.473
0.319	317.473
0.319	315.447
0.321	315.447
0.323	315.447
0.323	313.334
0.325	313.334
0.326	313.334
0.328	313.334
0.330	311.221
0.332	311.221
0.333	311.221
0.335	311.221
0.337	311.221
0.337	309.195
0.339	309.195
0.341	309.195
0.341	307.786
0.343	307.786
0.345	307.786
0.346	307.786
0.348	307.786
0.350	307.786
0.352	305.673
0.353	305.673
0.355	305.673
0.357	305.673
0.357	303.647
0.360	303.647
0.362	303.647
0.364	303.647
0.366	303.647
0.366	301.621
0.369	301.621
0.371	301.621
0.373	301.621
0.374	301.621
0.376	301.621
0.376	299.508
0.378	299.508
0.379	299.508
0.381	299.508
0.383	299.508
0.385	297.395
0.386	297.395
0.388	297.395
0.390	297.395
0.390	295.369
0.391	295.369
0.393	295.369
0.395	295.369
0.396	295.369
0.398	295.369
0.400	295.369
0.402	295.369
0.403	295.369
0.405	295.369
0.407	293.256
0.409	293.256
0.410	293.256
0.410	291.230
0.412	291.230
0.414	291.230
0.415	291.230
0.415	289.118
0.417	289.118
0.419	289.118
0.420	289.118
0.422	289.118
0.423	287.005
0.424	287.005
0.426	287.005
0.427	287.005
0.430	287.005
0.431	287.005
0.433	287.005
0.435	287.005
0.436	287.005
0.438	287.005
0.439	287.005
0.441	284.892
0.442	284.892
0.444	284.892
0.445	284.892
0.451	284.892
0.453	284.892
0.455	284.892
0.456	284.892
0.460	284.892
0.462	282.779
0.464	282.779
0.465	282.779
0.467	282.779
0.468	282.779
0.468	281.370
0.470	281.370
0.472	281.370
0.474	281.370
0.476	281.370
0.477	281.370
0.479	281.370
0.481	281.370
0.483	281.370
0.484	279.257
0.488	279.257
0.490	279.257
0.492	279.257
0.493	279.257
0.495	279.257
0.497	279.257
0.498	279.257
0.500	279.257
0.501	279.257
0.502	279.257
0.504	279.257
0.506	277.144
0.508	277.144
0.510	277.144
0.513	277.144
0.515	277.144
0.515	275.118
0.516	275.118
0.518	275.118
0.520	275.118
0.523	275.118
0.526	275.118
0.528	275.118
0.530	275.118
0.532	275.118
0.534	273.005
0.535	273.005
0.539	273.005
0.540	273.005
0.542	273.005
0.544	273.005
0.546	273.005
0.547	273.005
0.549	270.892
0.553	270.892
0.556	270.892
0.558	270.892
0.560	270.892
0.561	270.892
0.563	270.892
